hour,B(t)
0,118.39534434246885
1,112.99302885557664
2,110.08979235049402
3,104.47448812012935
4,107.56634782853315
5,127.15491514136849
6,147.21758548151413
7,147.6279630868734
8,151.14549504344893
9,156.06749060649892
10,159.3339480002636
11,164.34260784356795
12,169.6928229833239
13,173.10457303305978
14,173.9176821169549
15,174.02346466090543
16,173.38240641167013
17,172.5183182644359
18,171.12914770799674
19,170.26130542935246
20,169.30407468707924
21,162.95714237840932
22,157.06896307433226
23,134.87840319211202
