hour,B(t)
0,345.22364132231405
1,334.2727727272727
2,322.93835289256197
3,307.46428925619836
4,316.3916322314049
5,376.8132132231405
6,429.50436942148764
7,431.4551611570248
8,434.6690033057851
9,444.61472561983476
10,450.60596280991734
11,461.47086694214875
12,475.2652661157025
13,477.19621322314055
14,476.40268016528927
15,479.5503900826446
16,481.38876280991735
17,483.6503586776859
18,487.07581570247936
19,484.09341666666666
20,482.7064825
21,470.58414833333336
22,449.38672
23,392.5224083333333
