hour,B(t)
0,32.73052900101774
1,31.841691927533876
2,31.76604557548226
3,32.131036198882256
4,31.71498504415968
5,34.96539201720484
6,36.33458002281129
7,37.55531244067259
8,38.72120512939678
9,38.44226204237742
10,37.79407171203065
11,39.00582623069355
12,39.519269605667745
13,38.910791341211294
14,38.35527100645484
15,38.47866571483387
16,37.39172966237581
17,36.68066189436936
18,37.507093279964515
19,39.16137035507742
20,38.89992029789194
21,37.88815601154355
22,37.65460205930162
23,33.979632109764516
