hour,B(t)
0,24.50253114832667
1,23.746261432826667
2,23.64562378213667
3,23.681776043793334
4,23.45313768004667
5,28.870137977323335
6,32.424792228710004
7,32.28507062946
8,33.89727373852667
9,34.13470520917667
10,34.08292054038
11,35.845594116073336
12,35.17921318388667
13,34.23534383677
14,33.36866352963334
15,33.05599584876667
16,32.26552670137333
17,30.986516012206668
18,30.81356895368667
19,31.898141687903333
20,33.00616498663667
21,33.46930508793667
22,33.482005808173334
23,27.969254330680005
