hour,B(t)
0,33.04966015795484
1,32.39201639707742
2,32.664339388362905
3,32.921062021240324
4,33.78389802468226
5,34.67509904666775
6,34.93040501214678
7,34.148414062140326
8,34.88643490824355
9,35.654240749154845
10,35.262300829219356
11,34.96870135602904
12,34.30679861174839
13,33.198113854919356
14,32.99150730843226
15,32.045460884967746
16,31.97832682738065
17,31.947596442250003
18,31.665814820787098
19,32.25395915749032
20,32.44260423323871
21,32.484207079774194
22,32.28516696473387
23,32.97637869979516
