hour,B(t)
0,22.253110759848386
1,22.639846306058065
2,22.397780059351614
3,22.675783428390325
4,22.78546761361613
5,31.0932713151871
6,36.46507083095162
7,37.56855121405484
8,37.426718085519354
9,37.70376944650322
10,37.40591382608065
11,36.867883684987106
12,35.977152994687096
13,35.2320407757742
14,35.00699439104516
15,33.59525436701936
16,32.686560315200005
17,33.01089159160645
18,35.597033289954844
19,36.491545541545165
20,37.230982582351615
21,37.86735506097097
22,38.09429128095484
23,27.384731027990323
