hour,B(t)
0,32.23469088721429
1,31.659548711395608
2,31.739756930170884
3,31.86087335176154
4,31.755057973847254
5,34.51077801722363
6,36.326075249913735
7,37.41322357366594
8,38.62326107650275
9,38.12913225956923
10,37.98852693853462
11,38.74003038561209
12,39.14364390213956
13,38.67157833963737
14,38.34156847756374
15,37.759017563481876
16,37.112204391529126
17,36.96161485004781
18,37.90123429193242
19,38.62487151775055
20,38.46429598451429
21,37.52451583666374
22,37.35943119675604
23,33.47033635433022
