hour,B(t)
0,83.93949514563107
1,81.63517087378641
2,81.60692254901961
3,81.7322796116505
4,81.85560776699029
5,99.16865533980582
6,109.7580786407767
7,110.96316213592233
8,115.63979126213592
9,116.85167378640777
10,117.30807475728156
11,120.02801359223301
12,117.35370776699028
13,114.51432815533981
14,111.80118737864078
15,110.41159805825242
16,106.51764174757282
17,103.40927766990292
18,102.37744903846153
19,107.22095523809524
20,110.19146057692306
21,111.72059423076924
22,113.30263365384616
23,95.10777884615385
