hour,B(t)
0,33.02922933802569
1,32.4807649033337
2,32.61458335182174
3,32.839686408590225
4,33.40794104309403
5,34.569138676852724
6,35.465249290613045
7,35.22437391715761
8,36.265773842057065
9,36.82000869259837
10,36.736530922358156
11,37.31497980860816
12,36.94410944827065
13,36.18819014374892
14,36.22961079198968
15,35.978380774126634
16,35.565136329132066
17,35.290488504869565
18,34.683203980663045
19,34.61183290972174
20,34.787194912274316
21,34.5039981629011
22,34.3191518772776
23,33.647841202604376
