hour,B(t)
0,110.92629728260869
1,109.61789320652174
2,109.95600163043477
3,110.43027907608696
4,110.94043505434783
5,118.00402092391305
6,122.92045923913044
7,124.95807961956523
8,128.59193451086955
9,127.52841494565219
10,127.1166491847826
11,128.8148054347826
12,128.8509519021739
13,126.62579157608695
14,126.02350298913044
15,123.71680842391304
16,121.97027635869564
17,122.76798668478261
18,124.86268369565217
19,126.30045760869564
20,126.33090108695652
21,124.58627010869566
22,123.99974755434782
23,114.61695489130435
