hour,B(t)
0,32.4211
1,32.96249516129032
2,31.916482258064516
3,33.96203870967742
4,35.91596451612903
5,35.64236451612903
6,36.0695435483871
7,38.271256451612906
8,42.588861290322576
9,38.404182258064516
10,38.19317580645161
11,38.048632258064515
12,38.315782258064516
13,37.30268387096774
14,35.35262741935484
15,33.99817258064516
16,33.37224516129032
17,29.780582258064516
18,25.779811290322577
19,26.4876935483871
20,28.155758064516128
21,28.62100322580645
22,28.358377419354838
23,31.157629032258065
