hour,B(t)
0,9.403532766393335
1,9.955002513286667
2,9.903803009586666
3,10.091798287053333
4,10.853536707413333
5,10.921541879156667
6,11.098201170343334
7,11.46207128562
8,12.634969757816668
9,12.008066466233334
10,11.990483183136668
11,11.65709538257
12,11.511315028846667
13,10.98876455133
14,10.653426851710002
15,10.475205492093334
16,9.946402833243333
17,8.4588789659
18,7.733876995390001
19,7.772963874660001
20,8.590594842333333
21,8.778585235283336
22,8.351400061166666
23,9.050216137826668
