hour,B(t)
0,46.56382903225807
1,46.73676774193548
2,46.7057935483871
3,48.897170967741935
4,49.56956129032258
5,49.234006451612906
6,50.0845
7,51.824196774193545
8,55.48167096774194
9,47.863425806451616
10,46.50187419354839
11,46.28118709677419
12,45.643648387096775
13,44.21885806451613
14,43.93622903225807
15,42.601770967741935
16,41.300880645161286
17,38.85523548387097
18,37.31042258064516
19,40.60913870967742
20,40.916283870967746
21,41.97842580645162
22,40.51749677419355
23,44.788000000000004
