hour,B(t)
0,9.484255652197254
1,9.656265463218134
2,9.520590659188462
3,9.914476955992308
4,10.391855799107692
5,10.384447704956594
6,10.519027679464836
7,11.010644620283518
8,12.056303913145054
9,10.99350753510055
10,10.87239191865
11,10.817953658343956
12,10.940036409094505
13,10.63460393195934
14,10.278277099225825
15,9.955771948116483
16,9.646796210385714
17,8.764256854535715
18,7.832691068142308
19,7.890543766626374
20,8.228574595502748
21,8.274572894092858
22,8.391436243567034
23,8.894135293886265
