hour,B(t)
0,33.44412233009709
1,33.84420194174757
2,34.79141862745098
3,36.10095242718447
4,38.19688446601942
5,38.130074757281555
6,39.137266019417474
7,40.97683786407767
8,43.11317572815534
9,40.35069514563107
10,40.44819805825242
11,39.65347669902913
12,39.29573495145631
13,37.79214757281553
14,36.95819708737864
15,36.03646893203884
16,34.593085436893205
17,29.05725922330097
18,26.610901923076923
19,28.392719047619046
20,29.568012500000002
21,30.07849326923077
22,29.626876923076924
23,31.225641346153846
