hour,B(t)
0,9.058056333930164
1,9.218383293284784
2,9.205926660840761
3,9.681716837372555
4,9.930429948745381
5,10.015150244458967
6,10.166142494269295
7,10.658468644504076
8,11.58790597037935
9,10.74981616748288
10,10.723244104807065
11,10.66930167953587
12,10.701673521735055
13,10.424509029898914
14,10.127589641330163
15,9.846601130416033
16,9.480541912810056
17,8.426589231364131
18,7.618831958412229
19,7.78161322811413
20,8.030420870812229
21,8.094653990487501
22,8.148500450933968
23,8.540303646363045
