hour,B(t)_final
0,49.96060742715141
1,49.7776085897509
2,50.26351523150316
3,50.172062763487254
4,49.79582497203096
5,49.93725116533882
6,47.25747318266843
7,31.700224025678132
8,24.794845779635516
9,24.717196095907795
10,24.777449850085322
11,24.36113824177545
12,25.330737955280394
13,24.22171980104497
14,24.331576502889707
15,25.558328153963128
16,24.944668532259815
17,25.61542391088964
18,30.931285594889566
19,36.34393061827587
20,44.91899741385228
21,50.69464902641268
22,50.07677663352194
23,50.25612836048058
