hour,B(t)
0,13.725475847642425
1,13.4243809189
2,14.365141665070968
3,14.366091782345162
4,13.712153550457577
5,13.991346917031251
6,14.104933909856252
7,10.203584663865627
8,7.089106325009375
9,6.854743302178789
10,7.120164671951613
11,6.829872203653125
12,7.016740684181251
13,6.886605047367743
14,6.861076672487097
15,7.192972962254839
16,6.9654431848656255
17,7.617534520661291
18,12.903288390825807
19,14.818070605496775
20,14.621396329738712
21,14.596810509009678
22,14.073786873484377
23,14.398239780264518
