hour,B(t)
0,14.741741666048902
1,14.73578250203956
2,14.727085539600552
3,14.701155197221428
4,14.691651806448352
5,14.677318702212087
6,14.50289105544121
7,10.304238520013188
8,7.487637968255495
9,7.408557589746154
10,7.315304651938462
11,7.2595773623164845
12,7.515661352864287
13,7.164875011282967
14,7.16648545253077
15,7.519205740656044
16,7.408557911802198
17,7.736635276584067
18,9.675787373406594
19,12.441494535734067
20,14.97720795071868
21,14.825975585373627
22,14.743352751408793
23,14.727085378572529
