hour,B(t)
0,14.269356078026831
1,14.201321830150807
2,14.469359478441323
3,14.457975002232232
4,14.273645875005693
5,14.365174621997541
6,14.366616195006559
7,9.456246422215575
8,7.061010770313936
9,6.973813868939025
10,7.001388925827274
11,6.886094707073771
12,7.102576405666394
13,6.816789800320662
14,6.85312842445372
15,7.20318574826281
16,7.082153680964755
17,7.746078219300827
18,13.195586202178513
19,14.812713440938333
20,14.691066995613335
21,14.64196783408
22,14.395956092276034
23,14.445816390683335
