hour,B(t)
0,49.82218026905829
1,49.62024711111111
2,50.196119909502265
3,50.102470270270274
4,49.677452678571434
5,49.87465381165919
6,44.86112331838565
7,29.140150224215247
8,24.30962376681614
9,24.21851205357143
10,24.43219279279279
11,23.87187174887892
12,24.973286486486487
13,23.845143243243243
14,24.032111261261264
15,25.374264864864866
16,24.77518385650224
17,25.03635990990991
18,28.59296412556054
19,33.1358009009009
20,42.16470180995476
21,50.68897194570136
22,50.03353378378378
23,50.19747873303167
