hour,B(t)_final
0,10.588519949536717
1,10.579029468739545
2,10.556494894476076
3,10.509675523311325
4,10.500529689929062
5,10.491813546120376
6,10.46251405946905
7,8.492996135603253
8,5.270520429966188
9,4.8508139325509845
10,4.8664401101651995
11,4.881482897409184
12,4.899993771302563
13,4.9142035882114055
14,5.005153520920426
15,5.065355100900105
16,5.049410474490206
17,5.468502739752704
18,6.835618909598532
19,8.039709647408722
20,10.1510195558342
21,10.684248735561074
22,10.64205853956864
23,10.61609969618684
