hour,B(t)
0,36.62803870967742
1,36.529624193548386
2,36.41185967741936
3,36.273117741935486
4,36.13115806451613
5,36.071467741935486
6,36.15373870967741
7,35.51813225806452
8,21.496079032258066
9,17.22268064516129
10,17.24849516129032
11,17.29366290322581
12,17.354961290322578
13,17.419495161290325
14,17.605011290322583
15,17.805045161290323
16,17.79053064516129
17,18.14866290322581
18,20.418451612903226
19,36.13600645161291
20,37.13619677419355
21,37.04262903225806
22,36.85226129032258
23,36.6893435483871
