hour,B(t)
0,35.82303709677419
1,35.797217741935484
2,35.71010806451613
3,35.60201612903226
4,35.53750161290323
5,35.463287096774195
6,35.14063870967742
7,21.612232258064516
8,16.351556451612904
9,16.47415806451613
10,16.424153225806453
11,16.517720967741937
12,16.54998064516129
13,16.632259677419356
14,17.10330483870968
15,17.16944193548387
16,17.498548387096776
17,17.77923870967742
18,18.195459677419354
19,18.82298870967742
20,29.886412903225807
21,36.23117741935484
22,36.12308870967742
23,35.92628064516129
