hour,B(t)
0,36.068251612903225
1,35.95208709677419
2,35.81335806451612
3,35.33906774193548
4,35.63590322580645
5,35.6100935483871
6,35.568145161290325
7,33.82266774193548
8,18.910106451612904
9,16.548370967741935
10,16.45157419354839
11,16.570948387096774
12,16.680654838709675
13,16.706454838709675
14,16.96133870967742
15,17.29688064516129
16,17.035551612903223
17,19.594112903225806
18,35.69075483870967
19,36.481232258064516
20,36.48767741935484
21,36.35539677419355
22,36.24247419354838
23,36.11019032258064
