hour,B(t)
0,10.608939157619417
1,10.597271517400001
2,10.58563860997157
3,10.56511138544175
4,10.557142984126214
5,10.537792046612621
6,10.487989894059226
7,7.622738582316505
8,5.029842134363107
9,4.764606335059224
10,4.797618933732039
11,4.807295113826214
12,4.808149572285437
13,4.81441019482233
14,4.920276829675728
15,4.9732091512300975
16,4.911738789387379
17,4.872749818594174
18,5.187794615705769
19,6.230202403909525
20,9.943505920341348
21,10.646729784841348
22,10.611216906416347
23,10.608960259716346
