hour,B(t)
0,35.79542786885246
1,35.70198967391305
2,35.71883913043478
3,35.607946195652175
4,35.589467934782604
5,35.513363043478265
6,35.22254565217391
7,23.427347826086955
8,16.55375
9,16.485803804347828
10,16.53961847826087
11,16.504827717391304
12,16.590170108695652
13,16.714651630434783
14,17.064166847826087
15,17.372923369565218
16,17.421846195652176
17,17.802896739130436
18,18.1785125
19,19.161080327868852
20,31.232258469945357
21,36.22064262295082
22,36.038639890710385
23,35.902550273224044
