hour,B(t)
0,10.536806991760633
1,10.545988052818918
2,10.549936970394569
3,10.507035880597748
4,10.51693877609054
5,10.504792039252253
6,10.42279565796892
7,7.6891851464463965
8,5.032816665309009
9,4.780359761322523
10,4.800430108291892
11,4.798844224542793
12,4.8131063531396405
13,4.843078539490091
14,4.934843558064865
15,5.031495997613514
16,4.976304523657208
17,5.102270003834234
18,6.398988833010315
19,7.209879886123767
20,9.793377499177376
21,10.629652945451133
22,10.602993032465612
23,10.588269065858823
