hour,B(t)_final
0,12.53655386007296
1,12.35864691787432
2,12.267532975790905
3,12.192837623443587
4,12.161547296296572
5,12.139794446158165
6,12.267575573395856
7,10.21221554718867
8,8.034058793424716
9,8.66302719099092
10,8.957884633267392
11,8.877058679775933
12,9.325518048288668
13,9.366533619759462
14,9.179756871098252
15,9.294586728586834
16,9.3197203909051
17,10.136819393427134
18,10.860050188533938
19,11.960389016474032
20,13.551397793138278
21,13.510725871848848
22,13.084215771301022
23,12.759628004227778
