hour,B(t)
0,3.912080712276667
1,3.8241437818233335
2,3.7772416758866667
3,3.745587077176667
4,3.7274127675633335
5,3.7274069061433335
6,3.76668916608
7,3.173400141293334
8,2.375505551663333
9,2.5414169523766668
10,2.895511195996667
11,2.79585337935
12,3.0074877636766666
13,3.077838480323334
14,2.979936158966667
15,2.9981085147733335
16,3.0051431956766668
17,2.875579437286667
18,2.782365275026667
19,3.734447448466667
20,4.294315633316668
21,4.330667183253334
22,4.119029868216667
23,3.97656610131
