hour,B(t)
0,13.123179032258065
1,12.942175806451612
2,12.80860322580645
3,12.738914516129032
4,12.693417741935484
5,12.69728870967742
6,12.750527419354839
7,8.860420967741936
8,7.573067741935484
9,8.237072580645162
10,8.163512903225806
11,8.427754838709678
12,8.763629032258065
13,8.48486129032258
14,8.42582258064516
15,8.451956451612903
16,8.358062903225806
17,8.553587096774194
18,8.002835483870967
19,8.346448387096773
20,13.765879032258065
21,13.656503225806452
22,13.37581129032258
23,13.220935483870967
