hour,B(t)
0,12.974125806451614
1,12.817316129032257
2,12.811509677419354
3,12.759251612903224
4,12.763106451612902
5,12.726329032258066
6,12.914106451612904
7,11.688709677419356
8,8.15382258064516
9,8.966887096774194
10,9.450845161290323
11,8.612635483870967
12,9.379225806451611
13,9.446977419354837
14,9.315351612903225
15,9.861258064516129
16,9.497312903225806
17,12.12233870967742
18,14.791887096774193
19,14.164667741935483
20,13.98656129032258
21,13.750393548387096
22,13.2374
23,13.057354838709678
