hour,B(t)
0,3.380113927941209
1,3.33044419045
2,3.298845822725275
3,3.276135074617583
4,3.264251367623627
5,3.2619317589670334
6,3.298942117482418
7,2.9747284590598904
8,2.26639211589011
9,2.517063471535165
10,2.6020062362126373
11,2.5275971195928575
12,2.6854024877670333
13,2.719031740904945
14,2.6949678743285714
15,2.74203008505989
16,2.728403410756044
17,2.9937656749021984
18,3.272559286361539
19,3.779702388031319
20,3.7397927199802203
21,3.678912372626923
22,3.6025709197434073
23,3.4923084309461543
