hour,B(t)
0,3.8800423707621365
1,3.8202792186281553
2,3.7872074115794123
3,3.7680277892126215
4,3.753001782961165
5,3.7518050289553395
6,3.783566811981554
7,3.0493238006786414
8,2.508546061594175
9,2.552601177198058
10,2.662564830817476
11,2.83075913132233
12,2.868323720148544
13,2.9197204065699034
14,2.7855081153174757
15,2.765188336294175
16,2.8761794456233014
17,2.921427616278641
18,2.931108018329524
19,3.6506746382504764
20,4.215455487465385
21,4.322165174756731
22,4.0979238717
23,3.9369284176394235
