hour,B(t)
0,3.7081120563770495
1,3.670371350074457
2,3.638445087289674
3,3.6255432736255435
4,3.6117770597891306
5,3.6155054325978266
6,3.6310855010798915
7,2.5920763347184783
8,2.355119352388587
9,2.524401143931522
10,2.447838256514131
11,2.478903623236413
12,2.5891126542309784
13,2.5546049774804347
14,2.4919025963081523
15,2.5009836560875
16,2.5515482788059787
17,2.6654856826092397
18,2.4758446946739134
19,2.685240456619672
20,3.9107053124573774
21,3.873031115481421
22,3.7804813756065574
23,3.731080495076503
