hour,B(t)
0,12.085138842975207
1,11.915246721311476
2,11.890228925619834
3,11.80654262295082
4,11.837656198347107
5,11.72389918032787
6,11.928417355371902
7,10.338854545454547
8,7.59617520661157
9,8.265231404958678
10,8.50725867768595
11,8.29340655737705
12,8.664487603305785
13,8.668224590163934
14,8.562315702479339
15,8.786981818181818
16,8.683820661157023
17,11.393271900826447
18,13.597831404958677
19,13.110794214876032
20,12.939490833333334
21,12.927995000000001
22,12.533918333333334
23,12.269364166666666
