hour,B(t)
0,27.251349688938713
1,25.321461554998386
2,23.505729302509682
3,21.626321702929037
4,19.67583351385968
5,18.76710117373226
6,20.03156782061129
7,24.297520168600002
8,28.844688794638714
9,36.070916806880646
10,42.115406443201614
11,45.86132510027742
12,48.30872273296936
13,48.60566746981613
14,47.67825847117097
15,48.203958831677426
16,47.85213371390969
17,46.64086890743388
18,45.05562234289517
19,43.11808600124517
20,41.29449802787097
21,38.00857037693065
22,34.54417855862581
23,31.473262446835488
