hour,B(t)
0,27.201827402210004
1,24.493515307463333
2,22.28237471853667
3,20.58942664135667
4,18.141831485113336
5,16.575455888316668
6,17.287422060746668
7,21.636157071150002
8,26.52363668562667
9,33.18474486977667
10,40.404634922270006
11,45.05914067600667
12,47.84110737447334
13,48.658900508100004
14,48.21087700898
15,49.43500624578334
16,49.69681731602
17,48.91819409844667
18,47.96206949901333
19,45.785324699549996
20,43.223311694196674
21,39.73553038359
22,36.09267153023667
23,32.482489116480004
