hour,B(t)
0,104.40476451612903
1,94.56562258064515
2,84.62744354838709
3,81.25513387096774
4,80.78431935483871
5,79.35013870967742
6,85.15205
7,101.06869838709677
8,123.74418548387096
9,155.30482741935487
10,173.95525645161288
11,185.69717096774193
12,193.66942096774193
13,194.42470806451612
14,191.83029838709678
15,194.17294032258064
16,191.90482096774195
17,187.9958322580645
18,177.1447629032258
19,163.72027258064517
20,155.1127064516129
21,140.62646290322581
22,126.3774064516129
23,115.0568370967742
