hour,B(t)
0,67.68186129032259
1,61.36206451612903
2,58.938364516129035
3,54.656345161290325
4,48.8623935483871
5,52.06233548387097
6,54.69657419354839
7,65.57181612903226
8,85.51979677419355
9,97.56305161290322
10,114.4644129032258
11,129.25236774193547
12,137.9746064516129
13,137.1870193548387
14,138.36063225806453
15,138.9241
16,136.82593870967742
17,133.80564516129033
18,128.2196129032258
19,121.57597741935484
20,115.34558064516129
21,103.69837096774194
22,94.72657419354839
23,85.45006451612905
