hour,B(t)
0,91.06700879120879
1,83.51763406593406
2,77.64452912087911
3,71.35243791208792
4,65.2766478021978
5,63.486626923076926
6,67.99421593406593
7,80.2000989010989
8,96.7978043956044
9,121.94086043956044
10,141.51465109890108
11,153.98745274725275
12,161.70548901098903
13,160.8843010989011
14,158.9855989010989
15,160.83426263736263
16,159.4385252747253
17,155.05731813186813
18,148.9171785714286
19,142.57077692307692
20,136.67570659340657
21,125.66716758241759
22,114.70970054945055
23,105.04060714285716
