hour,B(t)
0,24.9197292499767
1,22.342107491822333
2,20.276316825534316
3,19.14683063418932
4,17.92310328403592
5,17.062434849497087
6,18.34275051079612
7,22.444997037478643
8,26.959945292756313
9,33.01957973784952
10,39.65274730110389
11,43.71643450476991
12,46.13557314031262
13,46.70307041854855
14,46.08942811549029
15,47.150027309949515
16,47.30983067473593
17,46.33515562945243
18,44.36468021679135
19,42.00400361490095
20,39.11206956784712
21,35.70773062453654
22,32.24172785203173
23,29.383012997574042
