hour,B(t)
0,20.27579354586281
1,18.00048112965207
2,17.12970373030331
3,16.102810315743803
4,14.741530156407439
5,15.295464380129753
6,16.406011884046283
7,18.712021428743803
8,22.86245926390992
9,26.99776397834876
10,32.10217577237025
11,36.28856760625786
12,38.50911958501487
13,38.347623173776036
14,38.85484309113554
15,39.24694835280661
16,38.76117493525372
17,37.713566729557854
18,35.68063371864463
19,33.88800560632232
20,32.55645486391167
21,29.5653812742675
22,26.926579026623337
23,24.474343091095005
