hour,B(t)
0,92.20128451086956
1,83.96747472826087
2,77.37573179347827
3,72.30265625
4,67.9575242506812
5,67.76334945652174
6,72.19736521739131
7,84.29646548913044
8,100.2304894021739
9,124.40464293478261
10,143.59282418478261
11,156.66312798913043
12,163.74603913043478
13,163.5349391304348
14,161.77303614130435
15,163.66124347826087
16,162.20299619565216
17,158.00788695652173
18,150.32131684782607
19,142.86127880434785
20,136.4958152173913
21,125.3312902173913
22,114.04159157608694
23,104.56011820652175
