hour,B(t)_final
0,0.28604764073646427
1,0.28529383050615836
2,0.28443144371085893
3,0.283522864792387
4,0.2829184720114052
5,0.28239734186999665
6,0.281075077367333
7,0.21578732726427555
8,0.16930325342023672
9,0.17000090854245503
10,0.1721339910020599
11,0.17306382693899144
12,0.1745432709238095
13,0.1745278167315736
14,0.17482543063968267
15,0.17522957851303414
16,0.17500098756480598
17,0.17627997764975506
18,0.19878189134737542
19,0.22239422317007662
20,0.26461293790469015
21,0.28690449133543894
22,0.28636213673149663
23,0.28624742819800464
