hour,B(t)
0,1.0113451612903226
1,1.0081193548387097
2,1.0073129032258066
3,1.0021516129032257
4,1.0016677419354838
5,0.9990870967741935
6,1.0021516129032257
7,0.9409983870967742
8,0.6046354838709678
9,0.597858064516129
10,0.6002758064516129
11,0.6010822580645161
12,0.6039854838709677
13,0.5959193548387097
14,0.5949516129032258
15,0.5949516129032258
16,0.5933387096774193
17,0.591725806451613
18,0.5973725806451613
19,0.9226129032258065
20,1.003759677419355
21,1.002791935483871
22,1.0019854838709679
23,1.0023112903225806
