hour,B(t)
0,0.9080228260869565
1,0.9015010869565218
2,0.8992076923076923
3,0.8943271739130434
4,0.891175
5,0.8891097826086956
6,0.8815
7,0.6130434782608696
8,0.49803478260869566
9,0.5035782608695653
10,0.5140119565217391
11,0.5183608695652174
12,0.5223826086956522
13,0.5210782608695652
14,0.5223826086956522
15,0.5229260869565218
16,0.5214043478260869
17,0.524991304347826
18,0.5371652173913044
19,0.5760902173913044
20,0.8150586956521739
21,0.8994304347826088
22,0.9050869565217391
23,0.9097619565217391
