hour,B(t)
0,1.139194117647059
1,1.1360194805194805
2,1.134655844155844
3,1.134396103896104
4,1.1330974025974028
5,1.132253246753247
6,1.117901948051948
7,0.7549487012987013
8,0.6899441558441559
9,0.6916331168831169
10,0.6926071428571429
11,0.695724025974026
12,0.6961136363636364
13,0.6932993548387096
14,0.6967845161290324
15,0.6994303225806452
16,0.6985270967741936
17,0.6989787096774194
18,0.7025929032258065
19,0.7081292207792208
20,0.9347136363636364
21,1.1427720779220778
22,1.1411493506493506
23,1.1409545454545453
