hour,B(t)
0,0.8251330578512397
1,0.8253793388429751
2,0.8208338842975206
3,0.8172801652892562
4,0.8165371900826447
5,0.8139743801652892
6,0.8139752066115702
7,0.6752305785123967
8,0.492000826446281
9,0.4961330578512397
10,0.5089429752066116
11,0.513901652892562
12,0.5277033057851239
13,0.5332404958677687
14,0.5348933884297521
15,0.5370421487603306
16,0.5376206611570249
17,0.554810743801653
18,0.785695041322314
19,0.8412528925619835
20,0.8443466666666667
21,0.8375108333333333
22,0.8350075
23,0.8305925
