hour,B(t)
0,0.2627300106388889
1,0.26173231887458565
2,0.2611508464005556
3,0.2602750597585636
4,0.2594978548966851
5,0.2588663759464088
6,0.25614599701215474
7,0.18477980824088397
8,0.1482325591994475
9,0.14915548997292818
10,0.1519241203756906
11,0.15315485665801104
12,0.15487118406132597
13,0.15574340435274725
14,0.15646819147967034
15,0.15680635032582416
16,0.15662921950164835
17,0.1570962007653846
18,0.17822694192142857
19,0.1954579553723757
20,0.2412140403566667
21,0.2644553847427778
22,0.2644397542894445
23,0.2647492698288889
