hour,B(t)
0,391.824
1,389.1138322580645
2,389.10960645161293
3,388.7581758064516
4,389.36814838709677
5,390.09338225806454
6,411.0547774193548
7,433.71269677419355
8,433.8730677419355
9,465.7360016129032
10,481.1792758064516
11,489.49508225806454
12,490.94079032258065
13,491.79206612903226
14,486.14392258064515
15,478.659614516129
16,468.2997370967742
17,452.43143870967737
18,440.38742096774195
19,436.3220887096774
20,426.2810258064516
21,411.89623064516127
22,397.8275741935484
23,395.0674596774193
