hour,B(t)
0,114.41815636185484
1,113.56351216555807
2,113.2097641238742
3,114.46914126195162
4,115.73636135814516
5,116.8017094225871
6,120.5667339453871
7,125.79129742692258
8,132.7997434336742
9,139.4048689117871
10,145.026099264871
11,146.38540226926455
12,147.79194926424842
13,147.39266366150645
14,144.9853293072097
15,142.70819127196776
16,138.75477976497743
17,136.9858599323968
18,135.7511603179097
19,131.90857030070325
20,128.4487366818387
21,124.9344003654871
22,119.63830487058388
23,112.36960702979376
