hour,B(t)
0,122.63043519098932
1,122.24267323542428
2,122.4784121192304
3,122.40673153587477
4,123.38092059546116
5,124.93742124553107
6,129.23705450513302
7,134.86068608538642
8,138.77729318915536
9,144.09625498664758
10,150.2463991461942
11,150.53196297603495
12,151.2988785667437
13,150.92619326465146
14,148.62479462295147
15,146.2907751872068
16,142.1583927102107
17,136.82056368462236
18,132.54292429826154
19,133.5179638717981
20,131.9266374097202
21,129.54518332458076
22,124.87690073522596
23,123.24556920136155
