hour,B(t)
0,115.91267494222811
1,115.84311417706695
2,115.56916400105372
3,116.21429465375289
4,117.07879282527108
5,118.21479826858265
6,121.37156168152067
7,124.46740483744132
8,129.46527297038347
9,134.5582787317339
10,139.6794822830182
11,140.136906288781
12,140.7867471495273
13,140.5390365163116
14,138.29822751847607
15,136.08235983157024
16,132.45174832649752
17,130.48997634528845
18,130.60850564143803
19,127.01617695960331
20,125.21234251262418
21,122.65699394181084
22,119.05409434240417
23,115.99358821221652
