hour,B(t)
0,118.79953334146923
1,118.60540439058919
2,118.61668037706019
3,118.77911113666622
4,119.6663480774099
5,121.15993479165947
6,125.39690910361668
7,131.15748852106125
8,136.15626802604146
9,142.2934380018856
10,148.37635578312705
11,148.61060334099415
12,149.52813748646759
13,149.27959202421937
14,147.05148727128426
15,144.70834211778785
16,140.09565183994235
17,135.28940612049595
18,131.31542207237445
19,129.50935983316563
20,128.6056701706629
21,125.97581107851676
22,121.46327528694344
23,119.12301411349054
