hour,B(t)
0,14.811318492757142
1,14.807131764185716
2,14.702442616257144
3,14.769442833585712
4,14.727571361142859
5,14.719189530542858
6,14.497251048971432
7,9.627139519742858
8,6.951313368442858
9,6.97643373987143
10,6.813117831757144
11,6.980620468442857
12,7.332376842828571
13,6.8801222358142855
14,6.9010600654
15,7.59200006827143
16,7.4077505173
17,8.098698893628573
18,13.081860467742858
19,14.78618974787143
20,14.97882112944286
21,14.916007640685715
22,14.786193934600004
23,14.702438429528572
