hour,B(t)
0,26.272600998714285
1,25.820342204971432
2,25.66122139888571
3,25.677968313171423
4,25.158717675557142
5,24.9158413644
6,27.86386767377143
7,27.696365037085716
8,32.579040938757146
9,35.73643298380001
10,36.33106148261429
11,37.57058015674286
12,40.82011372418571
13,42.059619838128576
14,42.143371156471424
15,40.03284965707143
16,41.791614782085716
17,34.01117006081429
18,31.599149676800003
19,32.24402729192857
20,32.47853433267143
21,29.748255589571436
22,29.43838324781429
23,28.860501663285714
