hour,B(t)
0,27.403243796342856
1,27.16873256887143
2,27.076607793385715
3,26.925864631171432
4,26.858860227114285
5,26.70811287817143
6,26.09673327834286
7,27.11011418214286
8,37.0178273171
9,40.719602931371426
10,40.970861073128575
11,43.751380559085725
12,44.75639219247143
13,45.166766953585714
14,45.619017373871436
15,44.29576412831428
16,45.225397900500006
17,43.29913013880001
18,34.82355031262857
19,29.11175143158572
20,29.39650758864286
21,28.37474904097143
22,28.483624917471435
23,27.981121194142855
