hour,B(t)
0,5.407993108985714
1,5.244392503328572
2,5.201591577142858
3,5.194804890128572
4,5.147984704514287
5,5.102562886242858
6,4.976676331557144
7,4.961311037700001
8,5.320724938642857
9,6.168910093200002
10,6.626356243642859
11,8.881014247571429
12,9.82270579804286
13,10.524497801371428
14,12.345490273142858
15,11.17200886877143
16,11.705967483857146
17,11.309865280442859
18,10.537430605928572
19,9.053503277985715
20,7.6566222237714285
21,6.8236307072
22,6.292946113857144
23,5.601750720542857
