hour,B(t)
0,15.640742857142858
1,15.455400000000001
2,15.36282857142857
3,15.489985714285712
4,15.161371428571428
5,14.925314285714284
6,14.432628571428571
7,14.189314285714287
8,14.70257142857143
9,16.407328571428568
10,18.73634285714286
11,20.600671428571427
12,25.0334
13,28.99958571428571
14,30.10597142857143
15,29.609557142857142
16,29.783871428571434
17,28.325742857142853
18,21.599171428571427
19,20.570699999999995
20,20.39338571428572
21,18.946785714285713
22,17.423357142857142
23,14.7597
