hour,B(t)
0,137.50613739895715
1,136.8989487144286
2,136.12006229118575
3,127.38068088445713
4,126.55572788674284
5,135.3118771414
6,135.43749574545717
7,136.89475779912857
8,141.45080188457146
9,147.6818514032286
10,153.20102727615716
11,155.25291364191432
12,156.8651265200143
13,157.88687669422862
14,159.02590132245717
15,158.51082903995714
16,157.51419086371428
17,155.6716744203572
18,152.18345545705714
19,147.7991049236
20,145.11489275497144
21,144.28576140214287
22,142.28830669454288
23,140.82686209902857
