hour,B(t)
0,137.15438521130002
1,136.48856976658573
2,136.7649524665
3,136.2163821687
4,136.32107131662858
5,136.04050607487144
6,136.0069996861143
7,135.8520614218714
8,135.86881252288572
9,136.59325472778573
10,138.17195284367145
11,138.49440211805717
12,138.9927191128143
13,138.85453194958572
14,139.31515582701428
15,140.75148423782858
16,141.81511844467144
17,141.6141177926857
18,142.37624055472858
19,141.42148641111427
20,141.6266779784
21,140.95248070308574
22,139.5789657810286
23,139.03459477198572
