hour,B(t)
0,139.41984497494286
1,138.20546341915718
2,138.0421433243143
3,136.92406908585716
4,137.2716429184
5,137.31351439084287
6,136.89057107055717
7,138.07145879777144
8,141.17861009995715
9,149.03862359772856
10,153.92547366778572
11,155.8768659876429
12,159.45721391315715
13,159.9471532640429
14,161.2159748514429
15,160.63391072507144
16,159.6833349365714
17,156.95724710877147
18,153.50672126280003
19,149.9054396944286
20,146.69778597288573
21,144.8092071417857
22,143.25144266875714
23,141.6476199947143
