hour,B(t)
0,24.764783333333337
1,25.058166666666665
2,25.2182
3,25.25818333333333
4,25.27156666666667
5,25.004833333333334
6,25.111516666666663
7,25.031516666666665
8,26.111683333333332
9,27.405299999999997
10,27.818700000000003
11,28.098766666666666
12,27.778683333333333
13,28.125450000000004
14,27.885366666666666
15,28.53885
16,30.139133333333337
17,27.458633333333328
18,24.67141666666667
19,24.24466666666667
20,25.111499999999996
21,24.684766666666672
22,24.604733333333332
23,24.671416666666662
